year;quartal;aktual;period;YLt - Yt;AT;Tt;St;Forecast;e;MSE;MAPE;;alpha ;0,01
2021;2;601;26;;306,2408914;-10,94534918;250,7366246;400,3650902;-188,8309808;35657,13932;789,8309808;;;
2021;3;106;27;;292,3518913;-10,97478568;109,474486;294,8309808;-107,424178;11539,95402;213,424178;;;
2021;4;544;28;;283,8687958;-10,94986878;213,8073928;651,424178;-253,2831338;64152,34586;797,2831338;;;
2021;5;85;29;;267,2546852;-11,0065112;273,9807173;338,2831338;-63,31275334;4008,504735;148,3127533;;;
2021;6;420;30;;257,0653427;-10,99833951;211,1514103;483,3127533;378,0359948;142911,2134;41,9640052;;;
2021;7;521;31;;246,4438756;-10,99457079;346,3028138;142,9640052;-275,6328394;75973,46216;796,6328394;;;
2021;8;390;32;;237,9196648;-10,96986719;90,09311208;665,6328394;-86,49407454;7481,22493;476,4940745;;;
2021;9;391;33;;224,2034692;-10,99733047;425,1093286;477,4940745;274,8949056;75567,20911;116,1050944;;;
2021;10;340;34;;211,831198;-11,01107988;296,3754991;65,10509442;-146,8132539;21554,13153;486,8132539;;;
2021;11;170;35;;201,8690672;-11,00059039;-18,53024648;316,8132539;-142,4541315;20293,17958;312,4541315;;;
2021;12;165;36;;189,3503442;-11,01577172;144,4710451;307,4541315;-236,7681387;56059,15151;401,7681387;;;
2022;1;180;37;;177,0600312;-11,02851713;152,0258735;416,7681387;-79,11642472;6259,408661;259,1164247;;;
2022;2;183;38;;163,6938327;-11,05189394;229,7632743;262,1164247;63,99783823;4095,723299;119,0021618;;;
2022;3;421;39;;154,2307745;-11,03600558;228,8222482;357,0021618;-263,9477588;69668,41937;684,9477588;;;
2022;4;140;40;;141,0247473;-11,0577058;190,5900086;403,9477588;-203,2332736;41303,7635;343,2332736;;;
2022;5;124;41;;127,1675639;-11,08570058;222,5895611;327,2332736;-299,5089205;89705,59345;423,5089205;;;
2022;6;150;42;;114,3095306;-11,1034239;192,6336553;449,5089205;32,20304523;1037,036122;117,7969548;;;
2022;7;212;43;;100,8310175;-11,1271748;300,7278274;179,7969548;-305,8698473;93556,36347;517,8698473;;;
2022;8;198;44;;89,88587314;-11,12535449;134,1350418;503,8698473;-178,7597778;31955,05816;376,7597778;;;
2022;9;182;45;;75,54182018;-11,15754148;339,2871674;360,7597778;414,402183;171729,1693;232,402183;;;
2022;10;450;46;;65,27668093;-11,14861745;357,3415529;35,59781699;40,58604679;1647,227194;409,4139532;;;
2022;11;230;47;;56,0720853;-11,12917724;77,54374029;189,4139532;55,62927661;3094,616416;174,3707234;;;
2022;12;242;48;;45,46876853;-11,12391863;184,6726083;186,3707234;13,20143876;174,2779854;228,7985612;;;
2023;1;267;49;;35,15114267;-11,1158557;198,6791669;253,7985612;-22,39021402;501,321684;289,390214;;;
2023;2;219;50;;23,68730135;-11,11933556;229,8950169;241,390214;-41,11559771;1690,492375;260,1155977;;;
2023;3;150;51;;11,65406365;-11,12847458;203,775552;191,1155977;325,4794919;105936,8997;175,4794919;;;
2023;4;541;52;;4,024433093;-11,09348614;324,3462953;215,5205081;514,696241;264912,2205;26,30375899;;;
2023;5;694;53;;-2,284258129;-11,04563819;401,0983096;179,303759;518,3685751;268705,9797;175,6314249;;;
2023;6;801;54;;-7,11293391;-10,98346857;421,7930862;282,6314249;493,7192067;243758,655;307,2807933;;;
2023;7;602;55;;-14,90271673;-10,95153171;416,250598;108,2807933;472,7140488;223458,5719;129,2859512;;;
2023;8;782;56;;-19,11705637;-10,88415979;377,8722154;309,2859512;321,1935112;103165,2716;460,8064888;;;
2023;9;641;57;;-26,68407567;-10,85098838;454,9357811;319,8064888;187,8907577;35302,93682;453,1092423;;;
2023;10;216;58;;-38,57312895;-10,86136903;309,0638849;28,10924232;692,574662;479659,6625;476,574662;;;
2023;11;825;59;;-41,4655904;-10,78167996;358,091778;132,425338;164,6370793;27105,36789;660,3629207;;;
2023;12;302;60;;-50,55152374;-10,76472249;232,0666906;137,3629207;22288;496754944;21986;;;
JUMLAH;;22288;;;;;;;;;;;;
2024;1;;61;;;;;137,3629207;;;;;;
;2;;62;;;;;229,8950169;;;;;;
;3;;63;;;;;203,775552;;;;;;
;4;;64;;;;;324,3462953;;;;;;
;5;;65;;;;;401,0983096;;;;;;
;6;;66;;;;;421,7930862;;;;;;
;7;;67;;;;;416,250598;;;;;;
;8;;68;;;;;377,8722154;;;;;;
;9;;69;;;;;454,9357811;;;;;;
;10;;70;;;;;309,0638849;;;;;;
;11;;71;;;;;358,091778;;;;;;
;12;;72;;;;;232,0666906;;;;;;
